MAE;predicted;real
10.365835228913847;17.045934277698233;9.779614325
10.365835228913847;93.47108246157116;85.47008547
10.365835228913847;4.656705448979132;5.294117647
10.365835228913847;17.044483028266995;8.90052356
10.365835228913847;3.5465406658921568;5.109489051000001
10.365835228913847;94.58889850024009;91.4893617
10.365835228913847;101.97828294644101;91.66666667
10.365835228913847;50.772722694409744;41.43192488
10.365835228913847;11.946952003006537;8.724832215
10.365835228913847;102.17207674563014;98.46416382
10.365835228913847;72.89146583031125;28.72340426
10.365835228913847;74.31782053083109;40.24960998
10.365835228913847;5.58669001057712;2.564102564
10.365835228913847;73.26154609099036;100.0
10.365835228913847;104.80475473502194;100.0
10.365835228913847;63.51328559540577;95.29411765
10.365835228913847;18.524225650481046;14.78599222
10.365835228913847;83.28039041453425;100.0
10.365835228913847;95.73558552683537;83.94160584
10.365835228913847;95.97678944549416;100.0
10.365835228913847;15.041191865969656;15.65836299
10.365835228913847;33.939522600745846;32.59385666
10.365835228913847;6.4756197667510245;14.43850267
10.365835228913847;10.071171787210641;19.34604905
10.365835228913847;96.08472065768927;94.73684211
10.365835228913847;43.9317715318543;33.5078534
10.365835228913847;60.050007025015255;100.0
10.365835228913847;57.954380136469226;79.55307263
10.365835228913847;4.012866089439887;2.1352313169999997
10.365835228913847;104.25008694883665;99.64664311
10.365835228913847;6.197948968551109;8.225616921
10.365835228913847;4.7449776558209535;4.166666667
10.365835228913847;63.58131678389595;100.0
10.365835228913847;78.7263071437222;100.0
10.365835228913847;64.5977840360103;94.93534483
10.365835228913847;5.9683515167619765;5.915178571
10.365835228913847;64.5277800461512;57.33695652
10.365835228913847;89.4708954690862;88.01652893
10.365835228913847;4.791068013365213;5.291005291
10.365835228913847;10.501349071638847;14.53900709
10.365835228913847;18.586575780982628;19.73684211
10.365835228913847;98.72260813682891;100.0
10.365835228913847;107.35319290816639;100.0
10.365835228913847;3.451992218731524;1.50862069
10.365835228913847;40.01436939969393;28.125
10.365835228913847;60.6590129912892;35.86956522
10.365835228913847;7.82706194713723;16.90140845
10.365835228913847;91.86431629167603;97.82016349
10.365835228913847;105.49371754573669;97.05882353
10.365835228913847;3.32080744528832;1.101928375
10.365835228913847;21.275829823922013;37.80068729
10.365835228913847;98.8179704612589;99.51219512
